chapter,number,authors,year,title,venue,pages,doi,url,accessed,confidence,raw
7,46,"Costa-jussà, M. R., Yu, B., Andrews, P., Alastruey, B., Camgoz, N. C., Chuang, J., Maillard, J., Ropers, C., Turkatenko, A., & Wood, C",2025,2M-Belebele: Highly multilingual speech and American Sign Language comprehension dataset,Findings of the Association for Computational Linguistics: ACL 2025,10893-10904,,https://aclanthology.org/2025.findings-acl.569/,29 July 2026,high,"Costa-jussà, M. R., Yu, B., Andrews, P., Alastruey, B., Camgoz, N. C., Chuang, J., Maillard, J., Ropers, C., Turkatenko, A., & Wood, C. (2025). 2M-Belebele: Highly multilingual speech and American Sign Language comprehension dataset. Findings of the Association for Computational Linguistics: ACL 2025, 10893-10904. https://aclanthology.org/2025.findings-acl.569/ Accessed 29 July 2026."
7,47,"Alqudah, A. A., Alshraideh, M. A., Abushariah, M. A., & Sharieh, A. A",2024,Modern Standard Arabic speech disorders corpus for digital speech processing applications,"International Journal of Speech Technology, 27(1)",157-170,10.1007/s10772-024-10086-9,https://doi.org/10.1007/s10772-024-10086-9,,high,"Alqudah, A. A., Alshraideh, M. A., Abushariah, M. A., & Sharieh, A. A. (2024). Modern Standard Arabic speech disorders corpus for digital speech processing applications. International Journal of Speech Technology, 27(1), 157-170. https://doi.org/10.1007/s10772-024-10086-9"
8,1,"Talafha, B., Kadaoui, K., Magdy, S. M., Habiboullah, M., Chafei, C. M., El-Shangiti, A. O., Zayed, H., Tourad, M. C., Alhamouri, R., Assi, R., Alraeesi, A., Mohamed, H., Alwajih, F., Mohamed, A., El Mekki, A., Nagoudi, E. M. B., Saadia, B. D. M., Alsayadi, H. A., Al-Dhabyani, W., Shatnawi, S., Ech-chammakhy, Y., Makouar, A., Berrachedi, Y., Jarrar, M., Shehata, S., Berrada, I., & Abdul-Mageed, M",2024,Casablanca: Data and Models for Multidialectal Arabic Speech Recognition,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,21745-21758,10.18653/v1/2024.emnlp-main.1211,https://doi.org/10.18653/v1/2024.emnlp-main.1211,,high,"Talafha, B., Kadaoui, K., Magdy, S. M., Habiboullah, M., Chafei, C. M., El-Shangiti, A. O., Zayed, H., Tourad, M. C., Alhamouri, R., Assi, R., Alraeesi, A., Mohamed, H., Alwajih, F., Mohamed, A., El Mekki, A., Nagoudi, E. M. B., Saadia, B. D. M., Alsayadi, H. A., Al-Dhabyani, W., Shatnawi, S., Ech-chammakhy, Y., Makouar, A., Berrachedi, Y., Jarrar, M., Shehata, S., Berrada, I., & Abdul-Mageed, M. (2024). Casablanca: Data and Models for Multidialectal Arabic Speech Recognition. Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing, 21745-21758. https://doi.org/10.18653/v1/2024.emnlp-main.1211"
8,2,"Biadsy, F., Hirschberg, J., & Habash, N",2009,Spoken Arabic dialect identification using phonotactic modeling,Proceedings of the EACL 2009 Workshop on Computational Approaches to Semitic Languages,53-61,,https://aclanthology.org/W09-0807/,30 July 2026,high,"Biadsy, F., Hirschberg, J., & Habash, N. (2009). Spoken Arabic dialect identification using phonotactic modeling. Proceedings of the EACL 2009 Workshop on Computational Approaches to Semitic Languages, 53-61. https://aclanthology.org/W09-0807/ Accessed 30 July 2026."
8,3,"Dehak, N., Kenny, P. J., Dehak, R., Dumouchel, P., & Ouellet, P",2011,Front-end factor analysis for speaker verification,"IEEE Transactions on Audio, Speech, and Language Processing, 19(4)",788-798,10.1109/TASL.2010.2064307,https://doi.org/10.1109/TASL.2010.2064307,,high,"Dehak, N., Kenny, P. J., Dehak, R., Dumouchel, P., & Ouellet, P. (2011). Front-end factor analysis for speaker verification. IEEE Transactions on Audio, Speech, and Language Processing, 19(4), 788-798. https://doi.org/10.1109/TASL.2010.2064307"
8,4,"Snyder, D., Garcia-Romero, D., McCree, A., Sell, G., Povey, D., & Khudanpur, S",2018,Spoken language recognition using x-vectors,The Speaker and Language Recognition Workshop (Odyssey),105-111,10.21437/Odyssey.2018-15,https://doi.org/10.21437/Odyssey.2018-15,,high,"Snyder, D., Garcia-Romero, D., McCree, A., Sell, G., Povey, D., & Khudanpur, S. (2018). Spoken language recognition using x-vectors. The Speaker and Language Recognition Workshop (Odyssey), 105-111. https://doi.org/10.21437/Odyssey.2018-15"
8,5,"Babu, A., Wang, C., Tjandra, A., Lakhotia, K., Xu, Q., Goyal, N., Singh, K., von Platen, P., Saraf, Y., Pino, J., Baevski, A., Conneau, A., & Auli, M",2022,XLS-R: Self-Supervised Cross-Lingual Speech Representation Learning at Scale,Interspeech,2278-2282,10.21437/Interspeech.2022-143,https://doi.org/10.21437/Interspeech.2022-143,,high,"Babu, A., Wang, C., Tjandra, A., Lakhotia, K., Xu, Q., Goyal, N., Singh, K., von Platen, P., Saraf, Y., Pino, J., Baevski, A., Conneau, A., & Auli, M. (2022). XLS-R: Self-Supervised Cross-Lingual Speech Representation Learning at Scale. Interspeech, 2278-2282. https://doi.org/10.21437/Interspeech.2022-143"
8,6,"Waheed, A., Talafha, B., Sullivan, P., Elmadany, A., & Abdul-Mageed, M",2023,VoxArabica: A robust dialect-aware Arabic speech recognition system,Proceedings of ArabicNLP 2023,441-449,,https://aclanthology.org/2023.arabicnlp-1.38/,30 July 2026,high,"Waheed, A., Talafha, B., Sullivan, P., Elmadany, A., & Abdul-Mageed, M. (2023). VoxArabica: A robust dialect-aware Arabic speech recognition system. Proceedings of ArabicNLP 2023, 441-449. https://aclanthology.org/2023.arabicnlp-1.38/ Accessed 30 July 2026."
8,7,"Al Khadhuri, R. S., Al Mahrouqi, F., Al Mandhari, S., Al-Kathiri, A. A., Alshahri, O. S., Alsaqr, G. M., Mudhsh, B. A., & Fatnassi, T",2026,OMAN-SPEECH: A multi-layer annotated speech corpus for Omani Arabic dialects,Proceedings of the Second Workshop on Natural Language Processing for Languages Using Arabic Script (AbjadNLP),229-235,10.18653/v1/2026.abjadnlp-1.31,https://doi.org/10.18653/v1/2026.abjadnlp-1.31,,high,"Al Khadhuri, R. S., Al Mahrouqi, F., Al Mandhari, S., Al-Kathiri, A. A., Alshahri, O. S., Alsaqr, G. M., Mudhsh, B. A., & Fatnassi, T. (2026). OMAN-SPEECH: A multi-layer annotated speech corpus for Omani Arabic dialects. Proceedings of the Second Workshop on Natural Language Processing for Languages Using Arabic Script (AbjadNLP), 229-235. https://doi.org/10.18653/v1/2026.abjadnlp-1.31"
8,8,"Shon, S., Ali, A., Samih, Y., Mubarak, H., & Glass, J",2020,ADI17: A fine-grained Arabic dialect identification dataset,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",8244-8248,10.1109/ICASSP40776.2020.9052982,https://doi.org/10.1109/ICASSP40776.2020.9052982,,high,"Shon, S., Ali, A., Samih, Y., Mubarak, H., & Glass, J. (2020). ADI17: A fine-grained Arabic dialect identification dataset. IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), 8244-8248. https://doi.org/10.1109/ICASSP40776.2020.9052982"
8,9,"Ali, A., Vogel, S., & Renals, S",2017,Speech recognition challenge in the wild: Arabic MGB-3,IEEE Automatic Speech Recognition and Understanding Workshop (ASRU),316-322,10.1109/ASRU.2017.8268952,https://doi.org/10.1109/ASRU.2017.8268952,,high,"Ali, A., Vogel, S., & Renals, S. (2017). Speech recognition challenge in the wild: Arabic MGB-3. IEEE Automatic Speech Recognition and Understanding Workshop (ASRU), 316-322. https://doi.org/10.1109/ASRU.2017.8268952"
8,10,"Elleuch, H., Mdhaffar, S., Estève, Y., & Bougares, F",2025,ADI-20: Arabic dialect identification dataset and models,Interspeech,2775-2779,10.21437/Interspeech.2025-884,https://doi.org/10.21437/Interspeech.2025-884,,high,"Elleuch, H., Mdhaffar, S., Estève, Y., & Bougares, F. (2025). ADI-20: Arabic dialect identification dataset and models. Interspeech, 2775-2779. https://doi.org/10.21437/Interspeech.2025-884"
8,11,"Abdul-Mageed, M., Zhang, C., Bouamor, H., & Habash, N",2020,NADI 2020: The first nuanced Arabic dialect identification shared task,Proceedings of the Fifth Arabic Natural Language Processing Workshop (WANLP),97-110,,https://aclanthology.org/2020.wanlp-1.9/,30 July 2026,high,"Abdul-Mageed, M., Zhang, C., Bouamor, H., & Habash, N. (2020). NADI 2020: The first nuanced Arabic dialect identification shared task. Proceedings of the Fifth Arabic Natural Language Processing Workshop (WANLP), 97-110. https://aclanthology.org/2020.wanlp-1.9/ Accessed 30 July 2026."
8,12,"Talafha, B., Toyin, H. O., Sullivan, P., Elmadany, A. A., Juma, A., Djanibekov, A., Zhang, C., Alshehhi, H., Aldarmaki, H., Jarrar, M., Habash, N., & Abdul-Mageed, M",2025,NADI 2025: The first multidialectal Arabic speech processing shared task,Proceedings of the Third Arabic Natural Language Processing Conference: Shared Tasks (ArabicNLP),720-733,,https://aclanthology.org/2025.arabicnlp-sharedtasks.99/,30 July 2026,high,"Talafha, B., Toyin, H. O., Sullivan, P., Elmadany, A. A., Juma, A., Djanibekov, A., Zhang, C., Alshehhi, H., Aldarmaki, H., Jarrar, M., Habash, N., & Abdul-Mageed, M. (2025). NADI 2025: The first multidialectal Arabic speech processing shared task. Proceedings of the Third Arabic Natural Language Processing Conference: Shared Tasks (ArabicNLP), 720-733. https://aclanthology.org/2025.arabicnlp-sharedtasks.99/ Accessed 30 July 2026."
8,13,"Hamed, I., Denisov, P., Li, C.-Y., Elmahdy, M., Abdennadher, S., & Vu, N. T",2022,Investigations on speech recognition systems for low-resource dialectal Arabic-English code-switching speech,"Computer Speech and Language, 72, 101278",,10.1016/j.csl.2021.101278,https://doi.org/10.1016/j.csl.2021.101278,,high,"Hamed, I., Denisov, P., Li, C.-Y., Elmahdy, M., Abdennadher, S., & Vu, N. T. (2022). Investigations on speech recognition systems for low-resource dialectal Arabic-English code-switching speech. Computer Speech and Language, 72, 101278. https://doi.org/10.1016/j.csl.2021.101278"
8,14,"Chowdhury, S. A., Samih, Y., Eldesouki, M., & Ali, A",2020,Effects of dialectal code-switching on speech modules: A study using Egyptian Arabic broadcast speech,Interspeech,2382-2386,10.21437/Interspeech.2020-2271,https://doi.org/10.21437/Interspeech.2020-2271,,high,"Chowdhury, S. A., Samih, Y., Eldesouki, M., & Ali, A. (2020). Effects of dialectal code-switching on speech modules: A study using Egyptian Arabic broadcast speech. Interspeech, 2382-2386. https://doi.org/10.21437/Interspeech.2020-2271"
8,15,"Farhan, W., Za’ter, M. E., Abu Obaidah, Q., al Bataineh, H., Sober, Z., & Al-Natsheh, H. T",2021,SPARTA: Speaker profiling for ARabic TAlk,28th Conference of Open Innovations Association (FRUCT),103-110,10.23919/FRUCT50888.2021.9347615,https://doi.org/10.23919/FRUCT50888.2021.9347615,,high,"Farhan, W., Za’ter, M. E., Abu Obaidah, Q., al Bataineh, H., Sober, Z., & Al-Natsheh, H. T. (2021). SPARTA: Speaker profiling for ARabic TAlk. 28th Conference of Open Innovations Association (FRUCT), 103-110. https://doi.org/10.23919/FRUCT50888.2021.9347615"
8,16,"Aouf, A",2019,Basic Arabic Vocal Emotions Dataset (BAVED) [data set],GitHub,,,https://github.com/40uf411/Basic-Arabic-Vocal-Emotions-Dataset,30 July 2026,high,"Aouf, A. (2019). Basic Arabic Vocal Emotions Dataset (BAVED) [data set]. GitHub. https://github.com/40uf411/Basic-Arabic-Vocal-Emotions-Dataset Accessed 30 July 2026."
8,17,"Meftah, A. H., Qamhan, M. A., Seddiq, Y., Alotaibi, Y. A., & Selouani, S. A",2021,"King Saud University Emotions Corpus: Construction, analysis, evaluation, and comparison","IEEE Access, 9",54201-54219,10.1109/ACCESS.2021.3070751,https://doi.org/10.1109/ACCESS.2021.3070751,,high,"Meftah, A. H., Qamhan, M. A., Seddiq, Y., Alotaibi, Y. A., & Selouani, S. A. (2021). King Saud University Emotions Corpus: Construction, analysis, evaluation, and comparison. IEEE Access, 9, 54201-54219. https://doi.org/10.1109/ACCESS.2021.3070751"
8,18,"van der Maaten, L., & Hinton, G",2008,Visualizing data using t-SNE,"Journal of Machine Learning Research, 9",2579-2605,,https://www.jmlr.org/papers/v9/vandermaaten08a.html,30 July 2026,high,"van der Maaten, L., & Hinton, G. (2008). Visualizing data using t-SNE. Journal of Machine Learning Research, 9, 2579-2605. https://www.jmlr.org/papers/v9/vandermaaten08a.html Accessed 30 July 2026."
8,19,"Desplanques, B., Thienpondt, J., & Demuynck, K",2020,"ECAPA-TDNN: Emphasized channel attention, propagation and aggregation in TDNN based speaker verification",Interspeech,3830-3834,10.21437/Interspeech.2020-2650,https://doi.org/10.21437/Interspeech.2020-2650,,high,"Desplanques, B., Thienpondt, J., & Demuynck, K. (2020). ECAPA-TDNN: Emphasized channel attention, propagation and aggregation in TDNN based speaker verification. Interspeech, 3830-3834. https://doi.org/10.21437/Interspeech.2020-2650"
8,20,"Park, T. J., Kanda, N., Dimitriadis, D., Han, K. J., Watanabe, S., & Narayanan, S",2022,A review of speaker diarization: Recent advances with deep learning,"Computer Speech & Language, 72, 101317",,10.1016/j.csl.2021.101317,https://doi.org/10.1016/j.csl.2021.101317,,high,"Park, T. J., Kanda, N., Dimitriadis, D., Han, K. J., Watanabe, S., & Narayanan, S. (2022). A review of speaker diarization: Recent advances with deep learning. Computer Speech & Language, 72, 101317. https://doi.org/10.1016/j.csl.2021.101317"
8,21,"Fujita, Y., Kanda, N., Horiguchi, S., Nagamatsu, K., & Watanabe, S",2019,End-to-end neural speaker diarization with permutation-free objectives,Interspeech,4300-4304,10.21437/Interspeech.2019-2899,https://doi.org/10.21437/Interspeech.2019-2899,,high,"Fujita, Y., Kanda, N., Horiguchi, S., Nagamatsu, K., & Watanabe, S. (2019). End-to-end neural speaker diarization with permutation-free objectives. Interspeech, 4300-4304. https://doi.org/10.21437/Interspeech.2019-2899"
8,22,"Bredin, H., Yin, R., Coria, J. M., Gelly, G., Korshunov, P., Lavechin, M., Fustes, D., Titeux, H., Bouaziz, W., & Gill, M.-P",2020,pyannote.audio: Neural building blocks for speaker diarization,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",7124-7128,10.1109/ICASSP40776.2020.9052974,https://doi.org/10.1109/ICASSP40776.2020.9052974,,high,"Bredin, H., Yin, R., Coria, J. M., Gelly, G., Korshunov, P., Lavechin, M., Fustes, D., Titeux, H., Bouaziz, W., & Gill, M.-P. (2020). pyannote.audio: Neural building blocks for speaker diarization. IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), 7124-7128. https://doi.org/10.1109/ICASSP40776.2020.9052974"
8,23,"Bianco, S., Celona, L., Khalifa, I., Napoletano, P., Petrovsky, A., Piccoli, F., Schettini, R., & Shanin, I",2022,ArabCeleb: Speaker recognition in Arabic,"AIxIA 2021: Advances in Artificial Intelligence. Lecture Notes in Computer Science, 13196",338-347,10.1007/978-3-031-08421-8_23,https://doi.org/10.1007/978-3-031-08421-8_23,,high,"Bianco, S., Celona, L., Khalifa, I., Napoletano, P., Petrovsky, A., Piccoli, F., Schettini, R., & Shanin, I. (2022). ArabCeleb: Speaker recognition in Arabic. AIxIA 2021: Advances in Artificial Intelligence. Lecture Notes in Computer Science, 13196, 338-347. https://doi.org/10.1007/978-3-031-08421-8_23"
8,24,"Alharbi, S., Alowisheq, A., Tüske, Z., Darwish, K., Alrajeh, A., Alrowithi, A., Bin Tamran, A., Ibrahim, A., Aloraini, R., Alnajim, R., Alkahtani, R., Almuasaad, R., Alrasheed, S., Alsubaie, S., & Alonaizan, Y",2024,SADA: Saudi Audio Dataset for Arabic,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10286-10290,10.1109/ICASSP48485.2024.10446243,https://doi.org/10.1109/ICASSP48485.2024.10446243,,high,"Alharbi, S., Alowisheq, A., Tüske, Z., Darwish, K., Alrajeh, A., Alrowithi, A., Bin Tamran, A., Ibrahim, A., Aloraini, R., Alnajim, R., Alkahtani, R., Almuasaad, R., Alrasheed, S., Alsubaie, S., & Alonaizan, Y. (2024). SADA: Saudi Audio Dataset for Arabic. IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), 10286-10290. https://doi.org/10.1109/ICASSP48485.2024.10446243"
8,25,"Ali, A., Bell, P., Glass, J., Messaoui, Y., Mubarak, H., Renals, S., & Zhang, Y",2016,The MGB-2 challenge: Arabic multi-dialect broadcast media recognition,IEEE Spoken Language Technology Workshop (SLT),279-284,10.1109/SLT.2016.7846277,https://doi.org/10.1109/SLT.2016.7846277,,high,"Ali, A., Bell, P., Glass, J., Messaoui, Y., Mubarak, H., Renals, S., & Zhang, Y. (2016). The MGB-2 challenge: Arabic multi-dialect broadcast media recognition. IEEE Spoken Language Technology Workshop (SLT), 279-284. https://doi.org/10.1109/SLT.2016.7846277"
8,26,"Wang, X., Delgado, H., Tak, H., Jung, J.-w., Shim, H.-j., Todisco, M., Kukanov, I., Liu, X., Sahidullah, M., Kinnunen, T., Evans, N., Lee, K. A., Yamagishi, J., Jeong, M., Zhu, G., Zang, Y., Zhang, Y., Maiti, S., Lux, F., Müller, N., Zhang, W., Sun, C., Hou, S., Lyu, S., Le Maguer, S., Gong, C., Guo, H., Chen, L., & Singh, V",2026,"ASVspoof 5: Design, collection and validation of resources for spoofing, deepfake, and adversarial attack detection using crowdsourced speech","Computer Speech & Language, 95, 101825",,10.1016/j.csl.2025.101825,https://doi.org/10.1016/j.csl.2025.101825,,high,"Wang, X., Delgado, H., Tak, H., Jung, J.-w., Shim, H.-j., Todisco, M., Kukanov, I., Liu, X., Sahidullah, M., Kinnunen, T., Evans, N., Lee, K. A., Yamagishi, J., Jeong, M., Zhu, G., Zang, Y., Zhang, Y., Maiti, S., Lux, F., Müller, N., Zhang, W., Sun, C., Hou, S., Lyu, S., Le Maguer, S., Gong, C., Guo, H., Chen, L., & Singh, V. (2026). ASVspoof 5: Design, collection and validation of resources for spoofing, deepfake, and adversarial attack detection using crowdsourced speech. Computer Speech & Language, 95, 101825. https://doi.org/10.1016/j.csl.2025.101825"
8,27,"Wang, D., & Chen, J",2018,Supervised speech separation based on deep learning: An overview,"IEEE/ACM Transactions on Audio, Speech, and Language Processing, 26(10)",1702-1726,10.1109/TASLP.2018.2842159,https://doi.org/10.1109/TASLP.2018.2842159,,high,"Wang, D., & Chen, J. (2018). Supervised speech separation based on deep learning: An overview. IEEE/ACM Transactions on Audio, Speech, and Language Processing, 26(10), 1702-1726. https://doi.org/10.1109/TASLP.2018.2842159"
8,28,"Bouchakour, L., Lounnas, K., & Debyeche, M",2026,Enhancing robustness of Arabic speech recognition in noisy environments using advanced feature extraction and denoising techniques based on deep learning models,"Circuits, Systems, and Signal Processing, 45(6)",4646-4681,10.1007/s00034-025-03418-w,https://doi.org/10.1007/s00034-025-03418-w,,high,"Bouchakour, L., Lounnas, K., & Debyeche, M. (2026). Enhancing robustness of Arabic speech recognition in noisy environments using advanced feature extraction and denoising techniques based on deep learning models. Circuits, Systems, and Signal Processing, 45(6), 4646-4681. https://doi.org/10.1007/s00034-025-03418-w"
8,29,"Gerazov, B., Politi, M., & Bratières, S",2026,Arabic ASR on the SADA large-scale Arabic speech corpus with transformer-based models,"Speech and Computer. Lecture Notes in Computer Science, 16188",70-84,10.1007/978-3-032-07959-6_6,https://doi.org/10.1007/978-3-032-07959-6_6,,high,"Gerazov, B., Politi, M., & Bratières, S. (2026). Arabic ASR on the SADA large-scale Arabic speech corpus with transformer-based models. Speech and Computer. Lecture Notes in Computer Science, 16188, 70-84. https://doi.org/10.1007/978-3-032-07959-6_6"
8,30,"Iwamoto, K., Ochiai, T., Delcroix, M., Ikeshita, R., Sato, H., Araki, S., & Katagiri, S",2022,How bad are artifacts?: Analyzing the impact of speech enhancement errors on ASR,Interspeech,5418-5422,10.21437/Interspeech.2022-318,https://doi.org/10.21437/Interspeech.2022-318,,high,"Iwamoto, K., Ochiai, T., Delcroix, M., Ikeshita, R., Sato, H., Araki, S., & Katagiri, S. (2022). How bad are artifacts?: Analyzing the impact of speech enhancement errors on ASR. Interspeech, 5418-5422. https://doi.org/10.21437/Interspeech.2022-318"
8,31,"Le Roux, J., Wisdom, S., Erdogan, H., & Hershey, J. R",2019,SDR: half-baked or well done?,"ICASSP 2019, IEEE International Conference on Acoustics, Speech and Signal Processing",626-630,10.1109/ICASSP.2019.8683855,https://doi.org/10.1109/ICASSP.2019.8683855,,high,"Le Roux, J., Wisdom, S., Erdogan, H., & Hershey, J. R. (2019). SDR: half-baked or well done? ICASSP 2019, IEEE International Conference on Acoustics, Speech and Signal Processing, 626-630. https://doi.org/10.1109/ICASSP.2019.8683855"
8,32,"Taal, C. H., Hendriks, R. C., Heusdens, R., & Jensen, J",2011,An algorithm for intelligibility prediction of time-frequency weighted noisy speech,"IEEE Transactions on Audio, Speech, and Language Processing, 19(7)",2125-2136,10.1109/TASL.2011.2114881,https://doi.org/10.1109/TASL.2011.2114881,,high,"Taal, C. H., Hendriks, R. C., Heusdens, R., & Jensen, J. (2011). An algorithm for intelligibility prediction of time-frequency weighted noisy speech. IEEE Transactions on Audio, Speech, and Language Processing, 19(7), 2125-2136. https://doi.org/10.1109/TASL.2011.2114881"
8,33,International Telecommunication Union,2001,Perceptual evaluation of speech quality (PESQ): An objective method for end-to-end speech quality assessment of narrow-band telephone networks and speech codecs,ITU-T Recommendation P.862,,,https://www.itu.int/rec/T-REC-P.862-200102-I,11 August 2026,high,International Telecommunication Union. (2001). Perceptual evaluation of speech quality (PESQ): An objective method for end-to-end speech quality assessment of narrow-band telephone networks and speech codecs. ITU-T Recommendation P.862. https://www.itu.int/rec/T-REC-P.862-200102-I Accessed 11 August 2026.
8,34,"Warden, P",2018,Speech Commands: A dataset for limited-vocabulary speech recognition,arXiv preprint arXiv:1804.03209,,,https://arxiv.org/abs/1804.03209,,medium,"Warden, P. (2018). Speech Commands: A dataset for limited-vocabulary speech recognition. arXiv preprint arXiv:1804.03209. https://arxiv.org/abs/1804.03209"
8,35,"Manning, C. D., Raghavan, P., & Schütze, H",2008,Introduction to information retrieval,Cambridge University Press,,10.1017/CBO9780511809071,https://doi.org/10.1017/CBO9780511809071,,high,"Manning, C. D., Raghavan, P., & Schütze, H. (2008). Introduction to information retrieval. Cambridge University Press. https://doi.org/10.1017/CBO9780511809071"
8,36,"Radford, A., Kim, J. W., Xu, T., Brockman, G., McLeavey, C., & Sutskever, I",2023,Robust Speech Recognition via Large-Scale Weak Supervision,"Proceedings of the 40th International Conference on Machine Learning (ICML), PMLR 202",28492-28518,,https://proceedings.mlr.press/v202/radford23a.html,30 July 2026,high,"Radford, A., Kim, J. W., Xu, T., Brockman, G., McLeavey, C., & Sutskever, I. (2023). Robust Speech Recognition via Large-Scale Weak Supervision. Proceedings of the 40th International Conference on Machine Learning (ICML), PMLR 202, 28492-28518. https://proceedings.mlr.press/v202/radford23a.html Accessed 30 July 2026."
8,37,"Lin, C.-Y",2004,ROUGE: A package for automatic evaluation of summaries,Text Summarization Branches Out,74-81,,https://aclanthology.org/W04-1013/,31 July 2026,high,"Lin, C.-Y. (2004). ROUGE: A package for automatic evaluation of summaries. Text Summarization Branches Out, 74-81. https://aclanthology.org/W04-1013/ Accessed 31 July 2026."
8,38,"Martin, A., Doddington, G., Kamm, T., Ordowski, M., & Przybocki, M",1997,The DET curve in assessment of detection task performance,European Conference on Speech Communication and Technology (Eurospeech),1895-1898,10.21437/Eurospeech.1997-504,https://doi.org/10.21437/Eurospeech.1997-504,,high,"Martin, A., Doddington, G., Kamm, T., Ordowski, M., & Przybocki, M. (1997). The DET curve in assessment of detection task performance. European Conference on Speech Communication and Technology (Eurospeech), 1895-1898. https://doi.org/10.21437/Eurospeech.1997-504"
8,39,"Fiscus, J. G., Ajot, J., Garofolo, J. S., & Doddington, G",2007,Results of the 2006 spoken term detection evaluation,Proceedings of the SIGIR 2007 Workshop on Searching Spontaneous Conversational Speech,51-57,,https://www.nist.gov/publications/results-2006-spoken-term-detection-evaluation,30 July 2026,high,"Fiscus, J. G., Ajot, J., Garofolo, J. S., & Doddington, G. (2007). Results of the 2006 spoken term detection evaluation. Proceedings of the SIGIR 2007 Workshop on Searching Spontaneous Conversational Speech, 51-57. https://www.nist.gov/publications/results-2006-spoken-term-detection-evaluation Accessed 30 July 2026."
9,1,"Taylor, P",2009,Text-to-speech synthesis,Cambridge University Press,,10.1017/CBO9780511816338,https://doi.org/10.1017/CBO9780511816338,,high,"Taylor, P. (2009). Text-to-speech synthesis. Cambridge University Press. https://doi.org/10.1017/CBO9780511816338"
9,2,"Darwish, K., Abdelali, A., Mubarak, H., & Eldesouki, M",2021,Arabic diacritic recovery using a feature-rich biLSTM model,"ACM Transactions on Asian and Low-Resource Language Information Processing, 20(2)",,10.1145/3434235,https://doi.org/10.1145/3434235,,high,"Darwish, K., Abdelali, A., Mubarak, H., & Eldesouki, M. (2021). Arabic diacritic recovery using a feature-rich biLSTM model. ACM Transactions on Asian and Low-Resource Language Information Processing, 20(2). https://doi.org/10.1145/3434235"
9,3,"Aldallal, Z., Chrouf, S., Hennara, K., Hamed, M. M., Hreden, M., & AlModhayan, S",2025,Sadeed: Advancing Arabic diacritization through small language model,arXiv preprint arXiv:2504.21635,,,https://arxiv.org/abs/2504.21635,,medium,"Aldallal, Z., Chrouf, S., Hennara, K., Hamed, M. M., Hreden, M., & AlModhayan, S. (2025). Sadeed: Advancing Arabic diacritization through small language model. arXiv preprint arXiv:2504.21635. https://arxiv.org/abs/2504.21635"
9,4,"Hadj Ali, I., Mnasri, Z., & Lachiri, Z",2020,DNN-based grapheme-to-phoneme conversion for Arabic text-to-speech synthesis,"International Journal of Speech Technology, 23(3)",569-584,10.1007/s10772-020-09750-7,https://doi.org/10.1007/s10772-020-09750-7,,high,"Hadj Ali, I., Mnasri, Z., & Lachiri, Z. (2020). DNN-based grapheme-to-phoneme conversion for Arabic text-to-speech synthesis. International Journal of Speech Technology, 23(3), 569-584. https://doi.org/10.1007/s10772-020-09750-7"
9,5,"Nusbaum, H. C., & Shintel, H",2006,Speech synthesis,"In Encyclopedia of language and linguistics (2nd ed., pp. 19-31). Elsevier",,10.1016/B0-08-044854-2/00913-5,https://doi.org/10.1016/B0-08-044854-2/00913-5,,high,"Nusbaum, H. C., & Shintel, H. (2006). Speech synthesis. In Encyclopedia of language and linguistics (2nd ed., pp. 19-31). Elsevier. https://doi.org/10.1016/B0-08-044854-2/00913-5"
9,6,World Wide Web Consortium,2010,Speech Synthesis Markup Language (SSML) Version 1.1,"W3C Recommendation, 7 September 2010",,,https://www.w3.org/TR/speech-synthesis11/,5 August 2026,high,"World Wide Web Consortium. (2010). Speech Synthesis Markup Language (SSML) Version 1.1. W3C Recommendation, 7 September 2010. https://www.w3.org/TR/speech-synthesis11/ Accessed 5 August 2026."
9,7,"Klatt, D. H",1980,Software for a cascade/parallel formant synthesizer,"The Journal of the Acoustical Society of America, 67(3)",971-995,10.1121/1.383940,https://doi.org/10.1121/1.383940,,high,"Klatt, D. H. (1980). Software for a cascade/parallel formant synthesizer. The Journal of the Acoustical Society of America, 67(3), 971-995. https://doi.org/10.1121/1.383940"
9,8,"Zen, H., Tokuda, K., & Black, A. W",2009,Statistical parametric speech synthesis,"Speech Communication, 51(11)",1039-1064,10.1016/j.specom.2009.04.004,https://doi.org/10.1016/j.specom.2009.04.004,,high,"Zen, H., Tokuda, K., & Black, A. W. (2009). Statistical parametric speech synthesis. Speech Communication, 51(11), 1039-1064. https://doi.org/10.1016/j.specom.2009.04.004"
