bibtex_key,authors,year,title,venue,pages,doi,url,accessed,chapters,confidence,raw
fiscus2007results,"Fiscus, J. G., Ajot, J., Garofolo, J. S., & Doddington, G",2007,Results of the 2006 spoken term detection evaluation,Proceedings of the SIGIR 2007 Workshop on Searching Spontaneous Conversational Speech,51-57,,https://www.nist.gov/publications/results-2006-spoken-term-detection-evaluation,30 July 2026,8,high,"Fiscus, J. G., Ajot, J., Garofolo, J. S., & Doddington, G. (2007). Results of the 2006 spoken term detection evaluation. Proceedings of the SIGIR 2007 Workshop on Searching Spontaneous Conversational Speech, 51-57. https://www.nist.gov/publications/results-2006-spoken-term-detection-evaluation Accessed 30 July 2026."
fitzgerald2023massive,"FitzGerald, J., Hench, C., Peris, C., Mackie, S., Rottmann, K., Sanchez, A., Nash, A., Urbach, L., Kakarala, V., Singh, R., Ranganath, S., Crist, L., Britan, M., Leeuwis, W., Tur, G., & Natarajan, P",2023,MASSIVE: A 1M-example multilingual natural language understanding dataset with 51 typologically-diverse languages,Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (ACL),4277-4302,10.18653/v1/2023.acl-long.235,https://doi.org/10.18653/v1/2023.acl-long.235,,10,high,"FitzGerald, J., Hench, C., Peris, C., Mackie, S., Rottmann, K., Sanchez, A., Nash, A., Urbach, L., Kakarala, V., Singh, R., Ranganath, S., Crist, L., Britan, M., Leeuwis, W., Tur, G., & Natarajan, P. (2023). MASSIVE: A 1M-example multilingual natural language understanding dataset with 51 typologically-diverse languages. Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (ACL), 4277-4302. https://doi.org/10.18653/v1/2023.acl-long.235"
fleiss1971measuring,"Fleiss, J. L",1971,Measuring nominal scale agreement among many raters,"Psychological Bulletin, 76(5)",378-382,10.1037/h0031619,https://doi.org/10.1037/h0031619,,7,high,"Fleiss, J. L. (1971). Measuring nominal scale agreement among many raters. Psychological Bulletin, 76(5), 378-382. https://doi.org/10.1037/h0031619"
fujita2019neural,"Fujita, Y., Kanda, N., Horiguchi, S., Nagamatsu, K., & Watanabe, S",2019,End-to-end neural speaker diarization with permutation-free objectives,Interspeech,4300-4304,10.21437/Interspeech.2019-2899,https://doi.org/10.21437/Interspeech.2019-2899,,8,high,"Fujita, Y., Kanda, N., Horiguchi, S., Nagamatsu, K., & Watanabe, S. (2019). End-to-end neural speaker diarization with permutation-free objectives. Interspeech, 4300-4304. https://doi.org/10.21437/Interspeech.2019-2899"
gales2008applicatio,"Gales, M., & Young, S",2008,The Application of Hidden Markov Models in Speech Recognition,"Foundations and Trends in Signal Processing, 1(3)",195-304,10.1561/2000000004,https://doi.org/10.1561/2000000004,,4,high,"Gales, M., & Young, S. (2008). The Application of Hidden Markov Models in Speech Recognition. Foundations and Trends in Signal Processing, 1(3), 195-304. https://doi.org/10.1561/2000000004"
gebru2021datasheets,"Gebru, T., Morgenstern, J., Vecchione, B., Vaughan, J. W., Wallach, H., Daumé III, H., & Crawford, K",2021,Datasheets for datasets,"Communications of the ACM, 64(12)",86-92,10.1145/3458723,https://doi.org/10.1145/3458723,,7;14,high,"Gebru, T., Morgenstern, J., Vecchione, B., Vaughan, J. W., Wallach, H., Daumé III, H., & Crawford, K. (2021). Datasheets for datasets. Communications of the ACM, 64(12), 86-92. https://doi.org/10.1145/3458723"
gerazov2026arabic,"Gerazov, B., Politi, M., & Bratières, S",2026,Arabic ASR on the SADA large-scale Arabic speech corpus with transformer-based models,"Speech and Computer. Lecture Notes in Computer Science, 16188",70-84,10.1007/978-3-032-07959-6_6,https://doi.org/10.1007/978-3-032-07959-6_6,,8,high,"Gerazov, B., Politi, M., & Bratières, S. (2026). Arabic ASR on the SADA large-scale Arabic speech corpus with transformer-based models. Speech and Computer. Lecture Notes in Computer Science, 16188, 70-84. https://doi.org/10.1007/978-3-032-07959-6_6"
ghobain2017dubbing,"Ghobain, E. A",2017,Dubbing melodramas in the Arab world; Between the standard language and colloquial dialects,"Arabic Language, Literature & Culture, 2(3)",49-59,10.11648/j.allc.20170203.11,https://doi.org/10.11648/j.allc.20170203.11,,12,high,"Ghobain, E. A. (2017). Dubbing melodramas in the Arab world; Between the standard language and colloquial dialects. Arabic Language, Literature & Culture, 2(3), 49-59. https://doi.org/10.11648/j.allc.20170203.11"
google2026speech,Google,2026,Speech generation: supported languages,Gemini API developer documentation,,,https://ai.google.dev/gemini-api/docs/speech-generation,11 August 2026,9,high,Google. (2026). Speech generation: supported languages. Gemini API developer documentation. https://ai.google.dev/gemini-api/docs/speech-generation Accessed 11 August 2026.
graves2012sequence,"Graves, A",2012,Sequence transduction with recurrent neural networks,arXiv:1211.3711,,,https://arxiv.org/abs/1211.3711,,1;5,medium,"Graves, A. (2012). Sequence transduction with recurrent neural networks. arXiv:1211.3711. https://arxiv.org/abs/1211.3711"
graves2006connection,"Graves, A., Fernández, S., Gomez, F., & Schmidhuber, J",2006,Connectionist temporal classification: labelling unsegmented sequence data with recurrent neural networks,ICML,369-376,10.1145/1143844.1143891,https://doi.org/10.1145/1143844.1143891,,1;2;5,high,"Graves, A., Fernández, S., Gomez, F., & Schmidhuber, J. (2006). Connectionist temporal classification: labelling unsegmented sequence data with recurrent neural networks. ICML. https://doi.org/10.1145/1143844.1143891"
grigoryan2025open,"Grigoryan, L., Karpov, N., Albasiri, E., Lavrukhin, V., & Ginsburg, B",2025,Open automatic speech recognition models for Classical and Modern Standard Arabic,arXiv:2507.13977,,,https://arxiv.org/abs/2507.13977,,6,medium,"Grigoryan, L., Karpov, N., Albasiri, E., Lavrukhin, V., & Ginsburg, B. (2025). Open automatic speech recognition models for Classical and Modern Standard Arabic. arXiv:2507.13977. https://arxiv.org/abs/2507.13977"
guellil2021arabic,"Guellil, I., Saâdane, H., Azouaou, F., Gueni, B., & Nouvel, D",2021,Arabic natural language processing: An overview,"Journal of King Saud University - Computer and Information Sciences, 33(5)",497-507,10.1016/j.jksuci.2019.02.006,https://doi.org/10.1016/j.jksuci.2019.02.006,,2,high,"Guellil, I., Saâdane, H., Azouaou, F., Gueni, B., & Nouvel, D. (2021). Arabic natural language processing: An overview. Journal of King Saud University - Computer and Information Sciences, 33(5), 497-507. https://doi.org/10.1016/j.jksuci.2019.02.006"
gulati2020conformer,"Gulati, A., Qin, J., Chiu, C.-C., Parmar, N., Zhang, Y., Yu, J., Han, W., Wang, S., Zhang, Z., Wu, Y., & Pang, R",2020,Conformer: Convolution-augmented Transformer for Speech Recognition,Interspeech,5036-5040,10.21437/Interspeech.2020-3015,https://doi.org/10.21437/Interspeech.2020-3015,,1;4;5,high,"Gulati, A., Qin, J., Chiu, C.-C., Parmar, N., Zhang, Y., Yu, J., Han, W., Wang, S., Zhang, Z., Wu, Y., & Pang, R. (2020). Conformer: Convolution-augmented Transformer for Speech Recognition. Interspeech, 5036-5040. https://doi.org/10.21437/Interspeech.2020-3015"
habash2010introducti,"Habash, N. Y",2010,Introduction to Arabic Natural Language Processing,"Synthesis Lectures on Human Language Technologies, 10. Morgan & Claypool",,10.2200/S00277ED1V01Y201008HLT010,https://doi.org/10.2200/S00277ED1V01Y201008HLT010,,1;2,high,"Habash, N. Y. (2010). Introduction to Arabic Natural Language Processing. Synthesis Lectures on Human Language Technologies, 10. Morgan & Claypool. https://doi.org/10.2200/S00277ED1V01Y201008HLT010"
habash2012convention,"Habash, N., Diab, M., & Rambow, O",2012,Conventional orthography for dialectal Arabic,LREC,711-718,,https://aclanthology.org/L12-1328/,19 June 2026,2;7;14,high,"Habash, N., Diab, M., & Rambow, O. (2012). Conventional orthography for dialectal Arabic. LREC, 711-718. https://aclanthology.org/L12-1328/ Accessed 19 June 2026."
habash2018unified,"Habash, N., Eryani, F., Khalifa, S., Rambow, O., Abdulrahim, D., Erdmann, A., Faraj, R., Zaghouani, W., Bouamor, H., Zalmout, N., Hassan, S., Al-Shargi, F., Alkhereyf, S., Abdulkareem, B., Eskander, R., Salameh, M., & Saddiki, H",2018,Unified guidelines and resources for Arabic dialect orthography (CODA*),LREC,3628-3637,,https://aclanthology.org/L18-1574/,19 June 2026,2;7,high,"Habash, N., Eryani, F., Khalifa, S., Rambow, O., Abdulrahim, D., Erdmann, A., Faraj, R., Zaghouani, W., Bouamor, H., Zalmout, N., Hassan, S., Al-Shargi, F., Alkhereyf, S., Abdulkareem, B., Eskander, R., Salameh, M., & Saddiki, H. (2018). Unified guidelines and resources for Arabic dialect orthography (CODA*). LREC, 3628-3637. https://aclanthology.org/L18-1574/ Accessed 19 June 2026."
hadj2020based,"Hadj Ali, I., Mnasri, Z., & Lachiri, Z",2020,DNN-based grapheme-to-phoneme conversion for Arabic text-to-speech synthesis,"International Journal of Speech Technology, 23(3)",569-584,10.1007/s10772-020-09750-7,https://doi.org/10.1007/s10772-020-09750-7,,1;2;9,high,"Hadj Ali, I., Mnasri, Z., & Lachiri, Z. (2020). DNN-based grapheme-to-phoneme conversion for Arabic text-to-speech synthesis. International Journal of Speech Technology, 23(3), 569-584. https://doi.org/10.1007/s10772-020-09750-7"
halabi2016modern,"Halabi, N",2016,Modern standard Arabic phonetics for speech synthesis [PhD thesis],University of Southampton,,,https://eprints.soton.ac.uk/409695/,28 July 2026,7,high,"Halabi, N. (2016). Modern standard Arabic phonetics for speech synthesis [PhD thesis]. University of Southampton. https://eprints.soton.ac.uk/409695/ Accessed 28 July 2026."
hamed2022investigat,"Hamed, I., Denisov, P., Li, C.-Y., Elmahdy, M., Abdennadher, S., & Vu, N. T",2022,Investigations on speech recognition systems for low-resource dialectal Arabic-English code-switching speech,"Computer Speech and Language, 72, 101278",,10.1016/j.csl.2021.101278,https://doi.org/10.1016/j.csl.2021.101278,,8,high,"Hamed, I., Denisov, P., Li, C.-Y., Elmahdy, M., Abdennadher, S., & Vu, N. T. (2022). Investigations on speech recognition systems for low-resource dialectal Arabic-English code-switching speech. Computer Speech and Language, 72, 101278. https://doi.org/10.1016/j.csl.2021.101278"
hamed2024zaebuc,"Hamed, I., Eryani, F., Palfreyman, D., & Habash, N",2024,ZAEBUC-Spoken: A multilingual multidialectal Arabic-English speech corpus,"Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING)",17770-17782,,https://aclanthology.org/2024.lrec-main.1546/,29 July 2026,7,high,"Hamed, I., Eryani, F., Palfreyman, D., & Habash, N. (2024). ZAEBUC-Spoken: A multilingual multidialectal Arabic-English speech corpus. Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING), 17770-17782. https://aclanthology.org/2024.lrec-main.1546/ Accessed 29 July 2026."
hayashi2020espnet,"Hayashi, T., Yamamoto, R., Inoue, K., Yoshimura, T., Watanabe, S., Toda, T., Takeda, K., Zhang, Y., & Tan, X",2020,"ESPnet-TTS: Unified, reproducible, and integratable open source end-to-end text-to-speech toolkit","IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",7654-7658,10.1109/ICASSP40776.2020.9053512,https://doi.org/10.1109/ICASSP40776.2020.9053512,,9,high,"Hayashi, T., Yamamoto, R., Inoue, K., Yoshimura, T., Watanabe, S., Toda, T., Takeda, K., Zhang, Y., & Tan, X. (2020). ESPnet-TTS: Unified, reproducible, and integratable open source end-to-end text-to-speech toolkit. IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), 7654-7658. https://doi.org/10.1109/ICASSP40776.2020.9053512"
hermansky1990perceptual,"Hermansky, H",1990,Perceptual linear predictive (PLP) analysis of speech,"Journal of the Acoustical Society of America, 87(4)",1738-1752,10.1121/1.399423,https://doi.org/10.1121/1.399423,,3,high,"Hermansky, H. (1990). Perceptual linear predictive (PLP) analysis of speech. Journal of the Acoustical Society of America, 87(4), 1738-1752. https://doi.org/10.1121/1.399423"
hinton2012deep,"Hinton, G., Deng, L., Yu, D., Dahl, G. E., Mohamed, A., Jaitly, N., Senior, A., Vanhoucke, V., Nguyen, P., Sainath, T. N., & Kingsbury, B",2012,Deep neural networks for acoustic modeling in speech recognition: The shared views of four research groups,"IEEE Signal Processing Magazine, 29(6)",82-97,10.1109/MSP.2012.2205597,https://doi.org/10.1109/MSP.2012.2205597,,1;4,high,"Hinton, G., Deng, L., Yu, D., Dahl, G. E., Mohamed, A., Jaitly, N., Senior, A., Vanhoucke, V., Nguyen, P., Sainath, T. N., & Kingsbury, B. (2012). Deep neural networks for acoustic modeling in speech recognition: The shared views of four research groups. IEEE Signal Processing Magazine, 29(6), 82-97. https://doi.org/10.1109/MSP.2012.2205597"
hochreiter1997long,"Hochreiter, S., & Schmidhuber, J",1997,Long short-term memory,"Neural Computation, 9(8)",1735-1780,10.1162/neco.1997.9.8.1735,https://doi.org/10.1162/neco.1997.9.8.1735,,1;4,high,"Hochreiter, S., & Schmidhuber, J. (1997). Long short-term memory. Neural Computation, 9(8), 1735-1780. https://doi.org/10.1162/neco.1997.9.8.1735"
hodgson2016risks,"Hodgson, T., & Coiera, E",2016,Risks and benefits of speech recognition for clinical documentation: A systematic review,"Journal of the American Medical Informatics Association, 23(e1), e169-e179",,10.1093/jamia/ocv152,https://doi.org/10.1093/jamia/ocv152,,12,high,"Hodgson, T., & Coiera, E. (2016). Risks and benefits of speech recognition for clinical documentation: A systematic review. Journal of the American Medical Informatics Association, 23(e1), e169-e179. https://doi.org/10.1093/jamia/ocv152"
houlsby2019parameter,"Houlsby, N., Giurgiu, A., Jastrzebski, S., Morrone, B., de Laroussilhe, Q., Gesmundo, A., Attariyan, M., & Gelly, S",2019,Parameter-efficient transfer learning for NLP,"Proceedings of the 36th International Conference on Machine Learning (ICML), PMLR 97",2790-2799,,https://proceedings.mlr.press/v97/houlsby19a.html,19 June 2026,6,high,"Houlsby, N., Giurgiu, A., Jastrzebski, S., Morrone, B., de Laroussilhe, Q., Gesmundo, A., Attariyan, M., & Gelly, S. (2019). Parameter-efficient transfer learning for NLP. Proceedings of the 36th International Conference on Machine Learning (ICML), PMLR 97, 2790-2799. https://proceedings.mlr.press/v97/houlsby19a.html Accessed 19 June 2026."
hsu2021hubert,"Hsu, W.-N., Bolte, B., Tsai, Y.-H. H., Lakhotia, K., Salakhutdinov, R., & Mohamed, A",2021,HuBERT: Self-supervised speech representation learning by masked prediction of hidden units,"IEEE/ACM Transactions on Audio, Speech, and Language Processing, 29",3451-3460,10.1109/TASLP.2021.3122291,https://doi.org/10.1109/TASLP.2021.3122291,,1;6,high,"Hsu, W.-N., Bolte, B., Tsai, Y.-H. H., Lakhotia, K., Salakhutdinov, R., & Mohamed, A. (2021). HuBERT: Self-supervised speech representation learning by masked prediction of hidden units. IEEE/ACM Transactions on Audio, Speech, and Language Processing, 29, 3451-3460. https://doi.org/10.1109/TASLP.2021.3122291"
hu2022lora,"Hu, E. J., Shen, Y., Wallis, P., Allen-Zhu, Z., Li, Y., Wang, S., Wang, L., & Chen, W",2022,LoRA: Low-rank adaptation of large language models,International Conference on Learning Representations (ICLR). arXiv:2106.09685,,,https://arxiv.org/abs/2106.09685,,6,high,"Hu, E. J., Shen, Y., Wallis, P., Allen-Zhu, Z., Li, Y., Wang, S., Wang, L., & Chen, W. (2022). LoRA: Low-rank adaptation of large language models. International Conference on Learning Representations (ICLR). arXiv:2106.09685. https://arxiv.org/abs/2106.09685"
huang2024acegpt,"Huang, H., Yu, F., Zhu, J., Sun, X., Cheng, H., Song, D., Chen, Z., Alharthi, A., An, B., He, J., Liu, Z., Zhang, Z., Chen, J., Li, J., Wang, B., Zhang, L., Sun, R., Wan, X., Li, H., & Xu, J",2024,"AceGPT, localizing large language models in Arabic",Proceedings of the 2024 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),8139-8163,10.18653/v1/2024.naacl-long.450,https://doi.org/10.18653/v1/2024.naacl-long.450,,11,high,"Huang, H., Yu, F., Zhu, J., Sun, X., Cheng, H., Song, D., Chen, Z., Alharthi, A., An, B., He, J., Liu, Z., Zhang, Z., Chen, J., Li, J., Wang, B., Zhang, L., Sun, R., Wan, X., Li, H., & Xu, J. (2024). AceGPT, localizing large language models in Arabic. Proceedings of the 2024 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers), 8139-8163. https://doi.org/10.18653/v1/2024.naacl-long.450"
hudecek2023large,"Hudeček, V., & Dušek, O",2023,Are large language models all you need for task-oriented dialogue?,Proceedings of the 24th Meeting of the Special Interest Group on Discourse and Dialogue (SIGDIAL),216-228,10.18653/v1/2023.sigdial-1.21,https://doi.org/10.18653/v1/2023.sigdial-1.21,,10,high,"Hudeček, V., & Dušek, O. (2023). Are large language models all you need for task-oriented dialogue? Proceedings of the 24th Meeting of the Special Interest Group on Discourse and Dialogue (SIGDIAL), 216-228. https://doi.org/10.18653/v1/2023.sigdial-1.21"
hussein2022arabic,"Hussein, A., Watanabe, S., & Ali, A",2022,"Arabic speech recognition by end-to-end, modular systems and human","Computer Speech & Language, 71, 101272",,10.1016/j.csl.2021.101272,https://doi.org/10.1016/j.csl.2021.101272,,4;5,high,"Hussein, A., Watanabe, S., & Ali, A. (2022). Arabic speech recognition by end-to-end, modular systems and human. Computer Speech & Language, 71, 101272. https://doi.org/10.1016/j.csl.2021.101272"
ibrahim2020optimizing,"Ibrahim, A. B., Seddiq, Y. M., Meftah, A. H., Alghamdi, M., Selouani, S.-A., Qamhan, M. A., Alotaibi, Y. A., & Alshebeili, S. A",2020,Optimizing Arabic speech distinctive phonetic features and phoneme recognition using genetic algorithm,"IEEE Access, 8",200395-200411,10.1109/ACCESS.2020.3034762,https://doi.org/10.1109/ACCESS.2020.3034762,,2,high,"Ibrahim, A. B., Seddiq, Y. M., Meftah, A. H., Alghamdi, M., Selouani, S.-A., Qamhan, M. A., Alotaibi, Y. A., & Alshebeili, S. A. (2020). Optimizing Arabic speech distinctive phonetic features and phoneme recognition using genetic algorithm. IEEE Access, 8, 200395-200411. https://doi.org/10.1109/ACCESS.2020.3034762"
international1999handbook,International Phonetic Association,1999,Handbook of the International Phonetic Association: A guide to the use of the International Phonetic Alphabet,Cambridge University Press,,,https://internationalphoneticassociation.org,19 June 2026,2,high,International Phonetic Association. (1999). Handbook of the International Phonetic Association: A guide to the use of the International Phonetic Alphabet. Cambridge University Press. https://internationalphoneticassociation.org Accessed 19 June 2026.
international1996recommenda,International Telecommunication Union,1996,ITU-T Recommendation P.800: Methods for subjective determination of transmission quality,,,,https://www.itu.int/rec/T-REC-P.800-199608-I,4 August 2026,9,medium,International Telecommunication Union. (1996). ITU-T Recommendation P.800: Methods for subjective determination of transmission quality. https://www.itu.int/rec/T-REC-P.800-199608-I Accessed 4 August 2026.
international2001perceptual,International Telecommunication Union,2001,Perceptual evaluation of speech quality (PESQ): An objective method for end-to-end speech quality assessment of narrow-band telephone networks and speech codecs,ITU-T Recommendation P.862,,,https://www.itu.int/rec/T-REC-P.862-200102-I,11 August 2026,8,high,International Telecommunication Union. (2001). Perceptual evaluation of speech quality (PESQ): An objective method for end-to-end speech quality assessment of narrow-band telephone networks and speech codecs. ITU-T Recommendation P.862. https://www.itu.int/rec/T-REC-P.862-200102-I Accessed 11 August 2026.
international2015recommenda,International Telecommunication Union,2015,ITU-R Recommendation BS.1534-3: Method for the subjective assessment of intermediate quality level of audio systems,,,,https://www.itu.int/rec/R-REC-BS.1534-3-201510-I,4 August 2026,9,medium,International Telecommunication Union. (2015). ITU-R Recommendation BS.1534-3: Method for the subjective assessment of intermediate quality level of audio systems. https://www.itu.int/rec/R-REC-BS.1534-3-201510-I Accessed 4 August 2026.
international2021recommenda,International Telecommunication Union,2021,ITU-T Recommendation P.808: Subjective evaluation of speech quality with a crowdsourcing approach,,,,https://www.itu.int/rec/T-REC-P.808-202106-I,5 August 2026,9,medium,International Telecommunication Union. (2021). ITU-T Recommendation P.808: Subjective evaluation of speech quality with a crowdsourcing approach. https://www.itu.int/rec/T-REC-P.808-202106-I Accessed 5 August 2026.
iwamoto2022artifacts,"Iwamoto, K., Ochiai, T., Delcroix, M., Ikeshita, R., Sato, H., Araki, S., & Katagiri, S",2022,How bad are artifacts?: Analyzing the impact of speech enhancement errors on ASR,Interspeech,5418-5422,10.21437/Interspeech.2022-318,https://doi.org/10.21437/Interspeech.2022-318,,8,high,"Iwamoto, K., Ochiai, T., Delcroix, M., Ikeshita, R., Sato, H., Araki, S., & Katagiri, S. (2022). How bad are artifacts?: Analyzing the impact of speech enhancement errors on ASR. Interspeech, 5418-5422. https://doi.org/10.21437/Interspeech.2022-318"
jelinek1976continuous,"Jelinek, F",1976,Continuous speech recognition by statistical methods,"Proceedings of the IEEE, 64(4)",532-556,10.1109/PROC.1976.10159,https://doi.org/10.1109/PROC.1976.10159,,4,high,"Jelinek, F. (1976). Continuous speech recognition by statistical methods. Proceedings of the IEEE, 64(4), 532-556. https://doi.org/10.1109/PROC.1976.10159"
jongman2011acoustics,"Jongman, A., Herd, W., Al-Masri, M., Sereno, J., & Combest, S",2011,Acoustics and perception of emphasis in Urban Jordanian Arabic,"Journal of Phonetics, 39(1)",85-95,10.1016/j.wocn.2010.11.007,https://doi.org/10.1016/j.wocn.2010.11.007,,1;2;3,high,"Jongman, A., Herd, W., Al-Masri, M., Sereno, J., & Combest, S. (2011). Acoustics and perception of emphasis in Urban Jordanian Arabic. Journal of Phonetics, 39(1), 85-95. https://doi.org/10.1016/j.wocn.2010.11.007"
jurafsky2023speech,"Jurafsky, D., & Martin, J. H",2023,Speech and Language Processing (3rd ed. draft),Stanford University,,,https://web.stanford.edu/~jurafsky/slp3,19 June 2026,1;2;3,high,"Jurafsky, D., & Martin, J. H. (2023). Speech and Language Processing (3rd ed. draft). Stanford University. https://web.stanford.edu/~jurafsky/slp3 Accessed 19 June 2026."
jurafsky2026text,"Jurafsky, D., & Martin, J. H",2026,Text-to-speech,"In Speech and language processing (3rd ed., draft of 6 January 2026), chapter 16",,,https://web.stanford.edu/~jurafsky/slp3/16.pdf,4 August 2026,9,high,"Jurafsky, D., & Martin, J. H. (2026). Text-to-speech. In Speech and language processing (3rd ed., draft of 6 January 2026), chapter 16. https://web.stanford.edu/~jurafsky/slp3/16.pdf Accessed 4 August 2026."
kannan2018analysis,"Kannan, A., Wu, Y., Nguyen, P., Sainath, T. N., Chen, Z., & Prabhavalkar, R",2018,An Analysis of Incorporating an External Language Model into a Sequence-to-Sequence Model,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",5824-5828,10.1109/ICASSP.2018.8462682,https://doi.org/10.1109/ICASSP.2018.8462682,,5,high,"Kannan, A., Wu, Y., Nguyen, P., Sainath, T. N., Chen, Z., & Prabhavalkar, R. (2018). An Analysis of Incorporating an External Language Model into a Sequence-to-Sequence Model. IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), 5824-5828. https://doi.org/10.1109/ICASSP.2018.8462682"
kapoor2023leakage,"Kapoor, S., & Narayanan, A",2023,Leakage and the reproducibility crisis in machine-learning-based science,"Patterns, 4(9), article 100804",,10.1016/j.patter.2023.100804,https://doi.org/10.1016/j.patter.2023.100804,,7,high,"Kapoor, S., & Narayanan, A. (2023). Leakage and the reproducibility crisis in machine-learning-based science. Patterns, 4(9), article 100804. https://doi.org/10.1016/j.patter.2023.100804"
khan2021tarteel,"Khan, H. I., Abou Allaban, A., Moussa, M. M., & Abid, A",2021,The Tarteel dataset: Crowd-sourced and labeled Quranic recitation,35th Conference on Neural Information Processing Systems (NeurIPS),,,https://openreview.net/pdf?id=TAdzPkgnnV8,4 August 2026,9,high,"Khan, H. I., Abou Allaban, A., Moussa, M. M., & Abid, A. (2021). The Tarteel dataset: Crowd-sourced and labeled Quranic recitation. 35th Conference on Neural Information Processing Systems (NeurIPS). https://openreview.net/pdf?id=TAdzPkgnnV8 Accessed 4 August 2026."
khattab2007phonetic,"Khattab, G",2007,A phonetic study of gemination in Lebanese Arabic,Proceedings of the 16th International Congress of Phonetic Sciences (ICPhS),153-158,,https://eprints.ncl.ac.uk/7648,19 June 2026,2,high,"Khattab, G. (2007). A phonetic study of gemination in Lebanese Arabic. Proceedings of the 16th International Congress of Phonetic Sciences (ICPhS), 153-158. https://eprints.ncl.ac.uk/7648 Accessed 19 June 2026."
kim2021conditiona,"Kim, J., Kong, J., & Son, J",2021,Conditional variational autoencoder with adversarial learning for end-to-end text-to-speech,"Proceedings of the 38th International Conference on Machine Learning (ICML), PMLR 139",5530-5540,,https://proceedings.mlr.press/v139/kim21f.html,4 August 2026,9,high,"Kim, J., Kong, J., & Son, J. (2021). Conditional variational autoencoder with adversarial learning for end-to-end text-to-speech. Proceedings of the 38th International Conference on Machine Learning (ICML), PMLR 139, 5530-5540. https://proceedings.mlr.press/v139/kim21f.html Accessed 4 August 2026."
kirchhoff2006morphology,"Kirchhoff, K., Vergyri, D., Bilmes, J., Duh, K., & Stolcke, A",2006,Morphology-based language modeling for conversational Arabic speech recognition,"Computer Speech & Language, 20(4)",589-608,10.1016/j.csl.2005.10.001,https://doi.org/10.1016/j.csl.2005.10.001,,4,high,"Kirchhoff, K., Vergyri, D., Bilmes, J., Duh, K., & Stolcke, A. (2006). Morphology-based language modeling for conversational Arabic speech recognition. Computer Speech & Language, 20(4), 589-608. https://doi.org/10.1016/j.csl.2005.10.001"
klatt1980software,"Klatt, D. H",1980,Software for a cascade/parallel formant synthesizer,"The Journal of the Acoustical Society of America, 67(3)",971-995,10.1121/1.383940,https://doi.org/10.1121/1.383940,,9,high,"Klatt, D. H. (1980). Software for a cascade/parallel formant synthesizer. The Journal of the Acoustical Society of America, 67(3), 971-995. https://doi.org/10.1121/1.383940"
kneser1995improved,"Kneser, R., & Ney, H",1995,Improved backing-off for M-gram language modeling,"IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP), 1",181-184,10.1109/ICASSP.1995.479394,https://doi.org/10.1109/ICASSP.1995.479394,,4,high,"Kneser, R., & Ney, H. (1995). Improved backing-off for M-gram language modeling. IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP), 1, 181-184. https://doi.org/10.1109/ICASSP.1995.479394"
kong2020hifi,"Kong, J., Kim, J., & Bae, J",2020,HiFi-GAN: Generative adversarial networks for efficient and high fidelity speech synthesis,Advances in Neural Information Processing Systems 33 (NeurIPS). arXiv preprint arXiv:2010.05646,,,https://arxiv.org/abs/2010.05646,,9,high,"Kong, J., Kim, J., & Bae, J. (2020). HiFi-GAN: Generative adversarial networks for efficient and high fidelity speech synthesis. Advances in Neural Information Processing Systems 33 (NeurIPS). arXiv preprint arXiv:2010.05646. https://arxiv.org/abs/2010.05646"
kuchaiev2019nemo,"Kuchaiev, O., Li, J., Nguyen, H., Hrinchuk, O., Leary, R., Ginsburg, B., Kriman, S., Beliaev, S., Lavrukhin, V., Cook, J., Castonguay, P., Popova, M., Huang, J., & Cohen, J. M",2019,NeMo: A toolkit for building AI applications using neural modules,arXiv preprint arXiv:1909.09577,,,https://arxiv.org/abs/1909.09577,,9,medium,"Kuchaiev, O., Li, J., Nguyen, H., Hrinchuk, O., Leary, R., Ginsburg, B., Kriman, S., Beliaev, S., Lavrukhin, V., Cook, J., Castonguay, P., Popova, M., Huang, J., & Cohen, J. M. (2019). NeMo: A toolkit for building AI applications using neural modules. arXiv preprint arXiv:1909.09577. https://arxiv.org/abs/1909.09577"
kudo2018sentencepi,"Kudo, T., & Richardson, J",2018,SentencePiece: A simple and language independent subword tokenizer and detokenizer for Neural Text Processing,Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing: System Demonstrations,66-71,10.18653/v1/D18-2012,https://doi.org/10.18653/v1/D18-2012,,4;5,high,"Kudo, T., & Richardson, J. (2018). SentencePiece: A simple and language independent subword tokenizer and detokenizer for Neural Text Processing. Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing: System Demonstrations, 66-71. https://doi.org/10.18653/v1/D18-2012"
