"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract"
"DNN-based grapheme-to-phoneme conversion for Arabic text-to-speech synthesis","https://scispace.com/papers/dnn-based-grapheme-to-phoneme-conversion-for-arabic-text-to-3844c04t37","2020","Journal Article","International Journal of Speech Technology","Ikbel Hadj Ali
Zied Mnasri
Zied Lachiri","10.1007/S10772-020-09750-7","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 82/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Perfectly matches Arabic TTS focus with a DNN grapheme‑to‑phoneme module; somewhat relevant to Arabic speech processing and evaluation via diacritic accuracy; other nice‑to‑have aspects not covered.","Arabic text-to-speech synthesis from non-diacritized text is still a big challenge, because of unique Arabic language rules and characteristics. Indeed, the diacritic and gemination signs, which are special characters representing respectively short vowels and consonant doubling, have a major effect on accurate pronunciation of Arabic. However these signs are often not mentioned in written texts, since most of Arab readers are used to guess them from the context. To tackle this issue, this paper presents a grapheme-to-phoneme conversion system for Arabic, which constitutes the text processing module of a deep neural networks (DNN)-based Arabic TTS systems. In the case of Arabic text, this step starts with predicting the diacritic and gemination signs. In this work, this step was fully realized based on DNN. Finally, the grapheme-to-phoneme conversion of the diacritized text was achieved using the Buckwalter code. In comparison to state-of-the-art approaches, the proposed system gives a higher accuracy rate either for all phonemes or for each class, and high precision, recall and F1 score for each class of diacritic signs."
"Arabic Text-To-Speech (TTS) Data Preparation","https://scispace.com/papers/arabic-text-to-speech-tts-data-preparation-2tohpbns","2022","Posted Content","","","10.48550/arxiv.2204.03255","https://scispace.com/pdf/arabic-text-to-speech-tts-data-preparation-2tohpbns.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 77/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Provides Arabic TTS dataset creation methods, directly supporting synthesis; lacks neural models, extensive evaluation, multilingual or real‑time aspects, but aids low‑resource scenarios.","People may be puzzled by the fact that voice over recordings data sets exist in addition to Text-to-Speech (TTS), Synthesis system advancements, albeit this is not the case. The goal of this study is to explain the relevance of TTS as well as the data preparation procedures. TTS relies heavily on recorded data since it can have a substantial influence on the outcomes of TTS modules. Furthermore, whether the domain is specialized or general, appropriate data should be developed to address all predicted language variants and domains. Different recording methodologies, taking into account quality and behavior, may also be advantageous in the development of the module. In light of the lack of Arabic language in present synthesizing systems, numerous variables that impact the flow of recorded utterances are being considered in order to manipulate an Arabic TTS module. In this study, two viewpoints will be discussed: linguistics and the creation of high-quality recordings for TTS. The purpose of this work is to offer light on how ground-truth utterances may influence the evolution of speech systems in terms of naturalness, intelligibility, and understanding. Well provide voice actor specs as well as data specs that will assist both voice actors and voice coaches in the studio as well as the annotators who will be evaluating the audios."
"Arabic Dysarthric Speech Recognition Using Adversarial and Signal-Based
  Augmentation","https://scispace.com/papers/arabic-dysarthric-speech-recognition-using-adversarial-and-39wdx1db","2023","Posted Content","","","10.48550/arxiv.2306.04368","https://scispace.com/pdf/arabic-dysarthric-speech-recognition-using-adversarial-and-39wdx1db.pdf","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 77/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Arabic dysarthric speech augmentation and Conformer ASR, leverages cross‑lingual adversarial model, targets low‑resource scenario, but evaluation limited to synthetic Arabic and English data, no real‑time focus.","Despite major advancements in Automatic Speech Recognition (ASR), the state-of-the-art ASR systems struggle to deal with impaired speech even with high-resource languages. In Arabic, this challenge gets amplified, with added complexities in collecting data from dysarthric speakers. In this paper, we aim to improve the performance of Arabic dysarthric automatic speech recognition through a multi-stage augmentation approach. To this effect, we first propose a signal-based approach to generate dysarthric Arabic speech from healthy Arabic speech by modifying its speed and tempo. We also propose a second stage Parallel Wave Generative (PWG) adversarial model that is trained on an English dysarthric dataset to capture language-independant dysarthric speech patterns and further augment the signal-adjusted speech samples. Furthermore, we propose a fine-tuning and text-correction strategies for Arabic Conformer at different dysarthric speech severity levels. Our fine-tuned Conformer achieved 18% Word Error Rate (WER) and 17.2% Character Error Rate (CER) on synthetically generated dysarthric speech from the Arabic commonvoice speech dataset. This shows significant WER improvement of 81.8% compared to the baseline model trained solely on healthy data. We perform further validation on real English dysarthric speech showing a WER improvement of 124% compared to the baseline trained only on healthy English LJSpeech dataset."
"Deep Investigation of the Recent Advances in Dialectal Arabic Speech Recognition","https://scispace.com/papers/deep-investigation-of-the-recent-advances-in-dialectal-35bwwwom","2022","Journal Article","IEEE Access","","10.1109/access.2022.3177191","","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 75/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Provides a detailed survey of dialectal Arabic ASR techniques and datasets, but lacks novel neural models, low‑resource methods, experimental results, multilingual or real‑time implementations.","Speech recognition systems play an important role in human&#x2013;machine interactions. Many systems exist for Arabic speech, however, there are limited systems for dialectal Arabic speech. The Arabic language comprises many properties, some of which are ideal for building automatic speech recognition systems such as syntax and phonology, while other properties are unsuitable for developing speech systems. Importantly, most data are in non-diacritized form, vary in dialect, and contain morphological complexity. Moreover, the Arabic dialects lack a standard structure. In this paper, we present an overview and summation of dialectal Arabic speech recognition systems using different approaches and techniques. The main goal of this paper is to compare and discuss different studies in dialectal Arabic speech systems including several criteria such as techniques, datasets, evaluation metrics, and dialect types. The study also includes a description of some techniques used in all steps of the dialectal Arabic speech system and introduces challenges and problems. Overall, more studies are required to obtain a more accurate speech system for dialectal Arabic."
"Advancements in Arabic Text-to-Speech Systems: A 22-Year Literature Review","https://scispace.com/papers/advancements-in-arabic-text-to-speech-systems-a-22-year-2aeis4ml","2023","Journal Article","IEEE Access","","10.1109/access.2023.3260844","","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 75/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Provides a systematic review of Arabic TTS techniques, detailing synthesis methods, corpora, and evaluation practices, but lacks original neural models, low‑resource methods, extensive experiments, multilingual or real‑time contributions.","Although there are several speech synthesis models available for different languages tailored to specific domain requirements and applications, there is currently no readily available information on the latest trends in Arabic language speech synthesis. This can make it challenging for beginners to research and develop text-to-speech (TTS) systems for Arabic languages. To address this issue, this article provides a comprehensive overview of several scholars’ contributions to the field of Arabic TTS, along with an examination of the unique features of the Arabic language and the corresponding challenges in creating TTS systems. Reporting only on papers discussing Arabic TTS, this systematic review evaluated the available literature published between 2000 and 2022. We conducted a systematic review in six databases using preferred reporting items for systematic reviews and meta-analyses (PRISMA) guidelines to identify studies that addressed Arabic Text-to-Speech systems. Of a total of 3719 articles identified, only 36 (0.96%) articles met our search criteria. Bibliometric analyses of these studies were conducted and reported. The results highlight the main types of speech synthesis techniques used in TTS systems: concatenative, formant, deep neural network (DNN), hybrid models, and multiagent. The corpora used to develop these systems, as well as the diacritization techniques incorporated, evaluation techniques, and the results of the performance of the systems are reported. Subjective evaluation using the mean opinion score is most applied to measure the accuracy of systems. This study also identifies gaps in the literature and makes recommendations for future research directions."
"The Challenges of Developing a Living Arabic Phonetic Dictionary for Speech Recognition System: A Literature Review","https://scispace.com/papers/the-challenges-of-developing-a-living-arabic-phonetic-2a7pi2zba2","2021","Journal Article","","Mohammad Husam Alhumsi
Saleh Belhassen","10.21467/AJSS.8.1.164-170","https://scispace.com/pdf/the-challenges-of-developing-a-living-arabic-phonetic-2a7pi2zba2.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 75/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Arabic phonetic dictionary analysis to highlight ASR challenges; discusses data scarcity and vowel handling but lacks novel neural models, experiments, multilingual or real-time aspects.","Phonetic dictionaries are regarded as pivotal components of speech recognition systems. The function of speech recognition research is to generate a machine which will accurately identify and distinguish the normal human speech from any other speaker. Literature affirmed that Arabic phonetics is one of the major problems in Arabic speech recognition. Therefore, this paper reviews previous studies tackling the challenges faced by initiating an Arabic phonetic dictionary with respect to Arabic speech recognition. It has been found that the system of speech recognition investigated areas of differences concerning Arabic phonetics. In addition, an Arabic phonetic dictionary should be initiated where the Arabic vowelsâ€™ phonemes should be considered as a component of the consonantsâ€™ phonemes. Thus, the incorporation of developed machine translation systems may enhance the quality of the system. The current paper concludes with the existing challenges faced by Arabic phonetic dictionary."
"Balanced Arabic corpus design for speech synthesis","https://link.springer.com/article/10.1007/s10772-021-09846-8","2021","Journal Article","International Journal of Speech Technology","Aissa Amrouche
Ahcene Abed
Kamel Ferrat
Khadidja Nesrine Boubakeur
Youssouf Bentrcia
Leila Falek","10.1007/S10772-021-09846-8","","No","13","daEmwZSn50YJ","","","","","","","","","SciSpace","- **Relevance Score:** 75/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Designs a phonetically balanced Arabic TTS corpus, validates with HMM synthesis; lacks neural models, low‑resource methods, broad evaluation, multilingual or real‑time aspects.","This paper aims to design and validate a phonetically balanced speech corpus for Arabic language. Designing and developing a rich and phonetically balanced corpus in optimal context is one of the key issues in building high quality of text-to-speech synthesis systems. The rich characteristic is in the sense that it must contain all the possible phonemes on the right and left context, whereas the balanced characteristic is in the sense that it respects the phonetic distribution in the language. We propose a new methodology for designing and implementing such corpus for speech synthesis purposes. The paper explains the whole creation process of this corpus, beginning with the design stage, corpus creation, recording phases, and finally the segmentation of the speech corpus. The speech corpus contains 202 sentences with 6174 phonemes. In order to validate the speech corpus, an Arabic speech synthesis system using Hidden Markov Models has been developed."
"A review: isolated Arabic words recognition using artificial intelligent techniques","https://iopscience.iop.org/article/10.1088/1742-6596/1897/1/012026/meta","2021","Journal Article","","S R Shareef
Y F Irhayim","10.1088/1742-6596/1897/1/012026","https://iopscience.iop.org/article/10.1088/1742-6596/1897/1/012026/pdf","Yes","11","gvqyauiNPh0J","","","","","","","","","SciSpace","- **Relevance Score:** 75/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Survey focuses on Arabic isolated-word ASR, providing overview of tools and challenges; lacks novel neural models, extensive experiments, multilingual or real-time implementations.","In recent few years, deep learning has fast growing in many fields as natural language processing, image recognition, handwriting recognition, computer vision, and speech recognition. Automatic speech recognition (ASR) is a technique that refers to translating spoken words from an acoustic waveform into a text equivalent to what the speaker says. More recently, the advances in deep learning can support ASR in improving the performance of systems accuracies. Arabic is a Semitic language, one of the oldest used and most communicated languages in the world. But, it least concentrated in the case of Arabic speech recognition and under-resourced languages. This paper presents a survey that focuses on an automatic speech recognition system based on isolating words technique for Arabic speech. It also highlights the facilities and tools for developing speech recognition systems. This work is intended to be a useful starting point for those who are interested in ASR."
"Arabic Speech Recognition: Advancement and Challenges","https://scispace.com/papers/arabic-speech-recognition-advancement-and-challenges-15fwhwhyuw","","Journal Article","IEEE Access","Ashifur Rahman
Md. Mohsin Kabir
Mohammed Firoz Mridha
M. Alatiyyah
Haifa F. Alhasson
Shuaa S. Alharbi","10.1109/access.2024.3376237","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 75/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Provides an extensive review of Arabic ASR challenges and methods, focusing on Arabic speech processing and recognition. Lacks novel neural models, experiments, multilingual or real-time aspects; mentions data scarcity issues without concrete solutions.","Speech recognition is a captivating process that revolutionizes human-computer interactions, allowing us to interact and control machines through spoken commands. The foundation of speech recognition lies in understanding a given language’s linguistic and textual characteristics. Although automatic speech recognition (ASR) systems flawlessly convert speech into text for various international languages, their implementation for Arabic remains inadequate. In this research, we diligently explore the current state of Arabic ASR systems and unveil the challenges encountered during their development. We categorize these challenges into two groups: those specific to the Arabic language and those more general. We propose strategies to overcome these obstacles and emphasize the need for ASR architectures tailored to the Arabic language’s unique grammatical and phonetic structure. In addition, we provide a comprehensive and explicit description of various feature extraction methods, language models, and acoustic models utilized in the Arabic ASR system."
"Synopsis on Arabic speech recognition","https://www.sciencedirect.com/science/article/pii/S2090447921002859","2021","Journal Article","Ain Shams Engineering Journal","Fawaz S. Al-Anzi
Bo Wu
Dia AbuZeina","10.1016/J.ASEJ.2021.06.020","","Yes","17","Ttoo83IdYNsJ","","","","","","","","","Google Scholar","- **Relevance Score:** 70/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Provides an overview of Arabic speech recognition, highlighting components and challenges, but lacks novel methods, neural models, data‑scarce strategies, extensive experiments, multilingual or real‑time aspects.",""
"Speech Recognition Models for Holy Quran Recitation Based on Modern Approaches and Tajweed Rules: A Comprehensive Overview","https://scispace.com/papers/speech-recognition-models-for-holy-quran-recitation-based-on-4y14vn3okx","2023","Journal Article","International Journal of Advanced Computer Science and Applications","Sumayya Al-Fadhli
Hajar Al-Harbi
Asma Cherif","10.14569/ijacsa.2023.0141297","https://scispace.com/pdf/speech-recognition-models-for-holy-quran-recitation-based-on-4y14vn3okx.pdf","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 70/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Provides an extensive review of Quranic Arabic ASR, directly addressing Arabic speech processing; however, it lacks original ASR/TTS methods, neural models, experiments, or implementation details.","Speech is considered the most natural way to communicate with people.The purpose of speech recognition technology is to allow machines to recognize and understand human speech, enabling them to take action based on the spoken words.Speech recognition is especially useful in educational fields, as it can provide powerful automatic correction for language learning purposes.In the context of learning the Quran, it is essential for every Muslim to recite it correctly.Traditionally, this involves an expert gari who listens to the student's recitation, identifies any mistakes, and provides appropriate corrections.While effective, this method is time-consuming.To address this challenge, apps that help students fix their recitation of the Holy Quran are becoming increasingly popular.However, these apps require a robust and error-free speech recognition model.While recent advancements in speech recognition have produced highly accurate results for written and spoken Arabic and non-Arabic speech recognition, the field of Holy Quran speech recognition is still in its early stages.Therefore, this paper aims to provide a comprehensive literature review of the existing research in the field of Holy Quran speech recognition.Its goal is to identify the limitations of current works, determine future research directions, and highlight important research in the fields of spoken and written languages."
"Deep Investigation of the Recent Advances in Dialectal Arabic Speech Recognition","https://scispace.com/papers/deep-investigation-of-the-recent-advances-in-dialectal-1cbc22gi","","Journal Article","IEEE Access","Hamzah A. Alsayadi
Abdelaziz A. Abdelhamid
Islam Hegazy
Bandar Alotaibi
Zaki T. Fayed","10.1109/ACCESS.2022.3177191","https://ieeexplore.ieee.org/ielx7/6287639/6514899/09780142.pdf","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 70/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Provides a thorough survey of dialectal Arabic ASR, covering techniques and datasets, but lacks novel methods, neural models, experiments, or real‑time implementations.","Speech recognition systems play an important role in human–machine interactions. Many systems exist for Arabic speech, however, there are limited systems for dialectal Arabic speech. The Arabic language comprises many properties, some of which are ideal for building automatic speech recognition systems such as syntax and phonology, while other properties are unsuitable for developing speech systems. Importantly, most data are in non-diacritized form, vary in dialect, and contain morphological complexity. Moreover, the Arabic dialects lack a standard structure. In this paper, we present an overview and summation of dialectal Arabic speech recognition systems using different approaches and techniques. The main goal of this paper is to compare and discuss different studies in dialectal Arabic speech systems including several criteria such as techniques, datasets, evaluation metrics, and dialect types. The study also includes a description of some techniques used in all steps of the dialectal Arabic speech system and introduces challenges and problems. Overall, more studies are required to obtain a more accurate speech system for dialectal Arabic."
"Advancements in Arabic Text-to-Speech Systems: A 22-Year Literature Review","https://scispace.com/papers/advancements-in-arabic-text-to-speech-systems-a-22-year-11j5o19q","","Journal Article","IEEE Access","Khansa Chemnad
Achraf Othman","10.1109/ACCESS.2023.3260844","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 70/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Provides exhaustive overview of Arabic TTS techniques, corpora, diacritization, and evaluation methods. Covers DNN and hybrid models but only as surveyed literature, lacking original implementation.","Although there are several speech synthesis models available for different languages tailored to specific domain requirements and applications, there is currently no readily available information on the latest trends in Arabic language speech synthesis. This can make it challenging for beginners to research and develop text-to-speech (TTS) systems for Arabic. To address this issue, this article provides a comprehensive overview of several scholars’ contributions to the field of Arabic TTS, along with an examination of the unique features of the Arabic language and the corresponding challenges in creating TTS systems. Reporting only on papers discussing Arabic TTS, this systematic review evaluated available literature published between 2000 and 2022. We conducted a systematic review of six databases using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines to identify studies that addressed Arabic Text-to-Speech systems. Of the 3719 articles identified, only 36 (0.96%) met our search criteria. Bibliometric analyses of these studies were conducted and reported. The results highlight the main types of speech synthesis techniques used in TTS systems: concatenative, formant, deep neural network (DNN), hybrid models, and multiagent. The corpora used to develop these systems, as well as the diacritization techniques incorporated, evaluation techniques, and the results of the performance of the systems are reported. Subjective evaluation using the mean opinion score is the most commonly applied method to measure the accuracy of systems. This study also identifies gaps in the literature and makes recommendations for future research directions."
"Flavors of Moonshine: Tiny Specialized ASR Models for Edge Devices","https://arxiv.org/abs/2509.02523v1","2025","Preprint","","Evan King
Adam Sabra
Manjunath Kudlur
James Wang
Pete Warden","","https://arxiv.org/pdf/2509.02523v1","Yes","","","","","","","http://arxiv.org/abs/2509.02523v1","2025-09-02T17:22:54Z","cs.CL","cs.CL, cs.LG, cs.SD","arXiv","- **Relevance Score:** 64/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Provides Arabic ASR within a multilingual tiny model suite, uses transformer‑based end‑to‑end nets, leverages pseudo‑labeled data for low‑resource settings, and targets on‑device low‑latency performance.","We present the Flavors of Moonshine, a suite of tiny automatic speech recognition (ASR) models specialized for a range of underrepresented languages. Prevailing wisdom suggests that multilingual ASR models outperform monolingual counterparts by exploiting cross-lingual phonetic similarities. We challenge this assumption, showing that for sufficiently small models (27M parameters), training monolingual systems on a carefully balanced mix of high-quality human-labeled, pseudo-labeled, and synthetic data yields substantially superior performance. On average, our models achieve error rates 48% lower than the comparably sized Whisper Tiny model, outperform the 9x larger Whisper Small model, and in most cases match or outperform the 28x larger Whisper Medium model. These results advance the state of the art for models of this size, enabling accurate on-device ASR for languages that previously had limited support. We release Arabic, Chinese, Japanese, Korean, Ukrainian, and Vietnamese Moonshine models under a permissive open-source license."
"QASR: QCRI Aljazeera Speech Resource A Large Scale Annotated Arabic Speech Corpus","https://scispace.com/papers/qasr-qcri-aljazeera-speech-resource-a-large-scale-annotated-2kora55c2i","2021","Proceedings Article","Meeting of the Association for Computational Linguistics","Hamdy Mubarak
Amir Hussein
Shammur Absar Chowdhury
Ahmed Ali","10.18653/V1/2021.ACL-LONG.177","https://scispace.com/pdf/qasr-qcri-aljazeera-speech-resource-a-large-scale-annotated-2kora55c2i.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 62/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Provides 2,000‑hour Arabic speech corpus with ASR baselines, enabling speech processing research. Includes baseline ASR, dialect ID, and code‑switching data, but lacks novel neural models, low‑resource methods, or real‑time implementations.","We introduce the largest transcribed Arabic speech corpus, QASR, collected from the broadcast domain. This multi-dialect speech dataset contains 2,000 hours of speech sampled at 16kHz crawled from Aljazeera news channel. The dataset is released with lightly supervised transcriptions, aligned with the audio segments. Unlike previous datasets, QASR contains linguistically motivated segmentation, punctuation, speaker information among others. QASR is suitable for training and evaluating speech recognition systems, acoustics- and/or linguistics- based Arabic dialect identification, punctuation restoration, speaker identification, speaker linking, and potentially other NLP modules for spoken data. In addition to QASR transcription, we release a dataset of 130M words to aid in designing and training a better language model. We show that end-to-end automatic speech recognition trained on QASR reports a competitive word error rate compared to the previous MGB-2 corpus. We report baseline results for downstream natural language processing tasks such as named entity recognition using speech transcript. We also report the first baseline for Arabic punctuation restoration. We make the corpus available for the research community."
"TEDxTN: A Three-way Speech Translation Corpus for Code-Switched Tunisian Arabic - English","https://arxiv.org/abs/2511.10780v1","2025","Preprint","","Fethi Bougares
Salima Mdhaffar
Haroun Elleuch
Yannick Estève","","https://arxiv.org/pdf/2511.10780v1","Yes","","","","","","","http://arxiv.org/abs/2511.10780v1","2025-11-13T20:05:19Z","cs.CL","cs.CL, cs.AI","arXiv","- **Relevance Score:** 62/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Provides a new Tunisian Arabic‑English speech translation corpus, uses end‑to‑end models for ASR baselines, addresses low‑resource data, includes cross‑lingual translation, but ASR/TTS is not the main contribution and lacks real‑time focus.","In this paper, we introduce TEDxTN, the first publicly available Tunisian Arabic to English speech translation dataset. This work is in line with the ongoing effort to mitigate the data scarcity obstacle for a number of Arabic dialects. We collected, segmented, transcribed and translated 108 TEDx talks following our internally developed annotations guidelines. The collected talks represent 25 hours of speech with code-switching that cover speakers with various accents from over 11 different regions of Tunisia. We make the annotation guidelines and corpus publicly available. This will enable the extension of TEDxTN to new talks as they become available. We also report results for strong baseline systems of Speech Recognition and Speech Translation using multiple pre-trained and fine-tuned end-to-end models. This corpus is the first open source and publicly available speech translation corpus of Code-Switching Tunisian dialect. We believe that this is a valuable resource that can motivate and facilitate further research on the natural language processing of Tunisian Dialect."
"Arabic Speech Processing: State of the Art and Future Outlook","https://scispace.com/papers/arabic-speech-processing-state-of-the-art-and-future-outlook-2tzxqlgr","2022","Book Chapter","Smart Innovation, Systems and Technologies","Naim Terbeh
Rim Teyeb
Mounir Zrigui","10.1007/978-981-19-3444-5_5","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 60/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Provides a broad survey of Arabic speech processing applications, covering ASR and TTS concepts but lacks novel methods, neural models, data-scarce strategies, detailed experiments, multilingual or real-time implementations.","The aim of this article is to study the Arabic speech processing applications which have introduced the voice communication as a solution for specific situations (non-native speakers, speakers with voice disabilities, learners of Arabic vocabulary, speech recognition or speech synthesis). We present the principal applications of processing the Arabic spoken language accentuating the most challenges preventing obtaining better results. The current paper gives in detail the followed approaches and the applied techniques in the automatic processing applications of spoken Arabic, so it can be a reference study for researchers and developers who deal with this topic."
"Cross-Attention Fusion of Visual and Geometric Features for Large
  Vocabulary Arabic Lipreading","https://scispace.com/papers/cross-attention-fusion-of-visual-and-geometric-features-for-r133ib6i83","2024","Preprint","","Samar Daou
Amira Rekik
Achraf Ben-Hamadou
A. Kallel","10.48550/arxiv.2402.11520","https://scispace.com/pdf/cross-attention-fusion-of-visual-and-geometric-features-for-r133ib6i83.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 52/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses cross‑attention fusion of visual and landmark features for Arabic word‑level lipreading; neural architecture aligns with end‑to‑end trends, but focuses on visual speech, lacks audio ASR/TTS, limited evaluation scope, and no real‑time or low‑resource innovations.","Lipreading involves using visual data to recognize spoken words by analyzing the movements of the lips and surrounding area. It is a hot research topic with many potential applications, such as human-machine interaction and enhancing audio speech recognition. Recent deep-learning based works aim to integrate visual features extracted from the mouth region with landmark points on the lip contours. However, employing a simple combination method such as concatenation may not be the most effective approach to get the optimal feature vector. To address this challenge, firstly, we propose a cross-attention fusion-based approach for large lexicon Arabic vocabulary to predict spoken words in videos. Our method leverages the power of cross-attention networks to efficiently integrate visual and geometric features computed on the mouth region. Secondly, we introduce the first large-scale Lip Reading in the Wild for Arabic (LRW-AR) dataset containing 20,000 videos for 100-word classes, uttered by 36 speakers. The experimental results obtained on LRW-AR and ArabicVisual databases showed the effectiveness and robustness of the proposed approach in recognizing Arabic words. Our work provides insights into the feasibility and effectiveness of applying lipreading techniques to the Arabic language, opening doors for further research in this field. Link to the project page: https://crns-smartvision.github.io/lrwar"
"Adapting Language Balance in Code-Switching Speech","https://arxiv.org/abs/2510.18724v1","2025","Preprint","","Enes Yavuz Ugan
Ngoc-Quan Pham
Alexander Waibel","","https://arxiv.org/pdf/2510.18724v1","Yes","","","","","","","http://arxiv.org/abs/2510.18724v1","2025-10-21T15:23:55Z","cs.CL","cs.CL, cs.LG, cs.SD, eess.AS","arXiv","- **Relevance Score:** 50/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses Arabic code-switching to improve model robustness, but Arabic is not the sole focus; addresses ASR errors, employs differentiable surrogate likely neural, highlights multilingual code-switching, lacks low-resource, extensive evaluation, or real-time aspects.","Despite achieving impressive results on standard benchmarks, large foundational models still struggle against code-switching test cases. When data scarcity cannot be used as the usual justification for poor performance, the reason may lie in the infrequent occurrence of code-switched moments, where the embedding of the second language appears subtly. Instead of expecting the models to learn this infrequency on their own, it might be beneficial to provide the training process with labels. Evaluating model performance on code-switching data requires careful localization of code-switching points where recognition errors are most consequential, so that the analysis emphasizes mistakes occurring at those moments. Building on this observation, we leverage the difference between the embedded and the main language to highlight those code-switching points and thereby emphasize learning at those locations. This simple yet effective differentiable surrogate mitigates context bias during generation -- the central challenge in code-switching -- thereby improving the model's robustness. Our experiments with Arabic and Chinese-English showed that the models are able to predict the switching places more correctly, reflected by the reduced substitution error."
"ArFake: A Multi-Dialect Benchmark and Baselines for Arabic Spoof-Speech Detection","https://arxiv.org/abs/2509.22808v1","2025","Preprint","","Mohamed Maged
Alhassan Ehab
Ali Mekky
Besher Hassan
Shady Shehata","","https://arxiv.org/pdf/2509.22808v1","Yes","","","","","","","http://arxiv.org/abs/2509.22808v1","2025-09-26T18:11:20Z","cs.CL","cs.CL","arXiv","- **Relevance Score:** 45/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Provides multi-dialect Arabic spoof detection dataset, addressing Arabic speech processing. Offers MOS and WER evaluation on Arabic corpora. Explores low‑resource data scarcity but lacks new ASR/TTS, multilingual or real‑time methods.","With the rise of generative text-to-speech models, distinguishing between real and synthetic speech has become challenging, especially for Arabic that have received limited research attention. Most spoof detection efforts have focused on English, leaving a significant gap for Arabic and its many dialects. In this work, we introduce the first multi-dialect Arabic spoofed speech dataset. To evaluate the difficulty of the synthesized audio from each model and determine which produces the most challenging samples, we aimed to guide the construction of our final dataset either by merging audios from multiple models or by selecting the best-performing model, we conducted an evaluation pipeline that included training classifiers using two approaches: modern embedding-based methods combined with classifier heads; classical machine learning algorithms applied to MFCC features; and the RawNet2 architecture. The pipeline further incorporated the calculation of Mean Opinion Score based on human ratings, as well as processing both original and synthesized datasets through an Automatic Speech Recognition model to measure the Word Error Rate. Our results demonstrate that FishSpeech outperforms other TTS models in Arabic voice cloning on the Casablanca corpus, producing more realistic and challenging synthetic speech samples. However, relying on a single TTS for dataset creation may limit generalizability."
